"ID","Title","Founded/Home Country","Founded","Countries","Markets","Segment","Ownership","Equity Partners / VC?","Key Summary","Ownership Notes","Key Sage Contacts","Website","Teams Folder Link","Abillity to Scale - Estimate","Completeness of Product/Service Offering - Estimate","Vertical","Business Context Notes","Overall Notes","In Gartner Market Model","Gartner Confidence Level","Logo","Competitor Category","Events Attended","Datapacks Completed","Created By","Modified By"
"2","Access Group","United Kingdom","1991","[""United Kingdom"",""Ireland"",""Australia"",""New Zealand"",""Kuala Lumpur"",""Malaysia"",""Timisoara"",""Romania"",""Singapore""]","[""Accounting and Financial Management Software"",""Accounting Practice Management Software"",""ERP Software"",""HR/HCM Software"",""Payroll Software""]","[""Medium (20-499)"",""Small (0-19)"",""Enterprise 499+""]","Private Equity"," Hg and TA Associates","The Access Group is a rapidly growing and highly acquisitive UK-headquartered business management software company, founded in 1991 in Loughborough, England. It has evolved into a global force through a relentless strategy of organic growth combined with over 20 acquisitions annually in recent years, significantly expanding its product portfolio and market reach.

The company's core mission is to provide integrated, cloud-based software solutions that empower organizations to become more productive and efficient. Unlike many horizontal software providers, Access Group excels in offering highly specialized ""micro-vertical"" solutions tailored to the unique needs of diverse industries, including healthcare, education, legal, hospitality, construction, manufacturing, and not-for-profit sectors. Its comprehensive suite spans critical business functions such as ERP, HR & Payroll, Finance, Spend Management, and CRM, all increasingly integrated through its ""Access Workspace"" platform.
","The company is privately owned by leading private equity firms Hg and TA Associates, providing the capital and strategic backing for its aggressive growth trajectory. The Access Group continues to invest heavily in product development, including leveraging AI, and expanding its market share through strategic acquisitions, aiming to solidify its position as a dominant provider of business-critical software solutions worldwide.",,"https://www.theaccessgroup.com/en-gb/",,"2","3","[""1. Agriculture"",""2. Automotive"",""3. Construction"",""6. Financial Services"",""7. Government & Public"",""9. Insurance"",""10. Natural Resources"",""12. Process Manufacturing"",""13. Professional Services"",""16. Technology & Software"",""15. Retail"",""14. Property - Real Estate"",""5. Education"",""21. Not for Profit"",""4. Discrete Manufacturing"",""11. Other Services"",""8. Health & Social Care"",""19. Utilities"",""& Entertainment"",""18. Travel, Hospitality Media"",""17. Telecoms"",""20. Wholesale, Distribution. Logistics and Transportation""]",,"Review","True","Overestimating",,,"False","False","Webb, Craig","Webb, Craig"
"4","Acumatica","United States","2008","[""United Kingdom"",""United States"",""Canada"",""Serbia"",""Sri Lanka"",""Singapore"",""Phillippines"",""Thailand"",""South Africa"",""Panama"",""Peru"",""Australia"",""France"",""Germany"",""Malaysia""]","[""ERP Software"",""Accounting and Financial Management Software"",""HR/HCM Software"",""Payroll Software"",""Vertical Specialist""]","[""Small (0-19)"",""Medium (20-499)""]","Private Equity","EQT Partners","Acumatica Inc., founded in 2008, offers cloud and browser-based Enterprise Resource Planning (ERP) software for small and medium-sized businesses globally. Their ERP product, available in both on-premises and SaaS versions, provides adaptable cloud and mobile technology. Acumatica's unique all-inclusive user licensing model allows over 10,000 customers to have a complete, real-time view of their business from anywhere, at any time.


","Since initial investment in Series A in November 2009, the company has been supported through multiple funding rounds led by Visma, MYOB and Accel-KKR Abila MIP Fund Accounting Software Tips before its acquisition by EQT Partners in 2019. EQT Partners, a global private equity firm based in Stockholm. ",,"https://en-gb.acumatica.com/","/:f:/r/sites/MarketCompetitorIntelligence-MarketandCompetitorIntelligence-Internal/Shared%20Documents/Market%20and%20Competitor%20Intelligence%20-%20Internal/Competitors/Acumatica?csf=1&web=1&e=oZdH7Q","4","3","[""3. Construction"",""4. Discrete Manufacturing"",""12. Process Manufacturing"",""14. Property - Real Estate"",""20. Wholesale, Distribution. Logistics and Transportation""]",,,"True","Confident",,"Direct","False","False","Webb, Craig","Webb, Craig"
"5","ADP","United States","1949","[""United States"",""Canada"",""Mexico"",""United Kingdom"",""Ireland"",""Spain"",""Switzerland"",""Italy"",""Germany"",""France"",""Netherlands"",""Belgium"",""Sweden"",""Denmark"",""Norway"",""Finland"",""Portugal"",""Czech Republic"",""Hungary"",""Poland"",""Romania"",""Russia"",""Tunisia"",""Turkey"",""Australia"",""New Zealand"",""Japan"",""India"",""Singapore"",""China"",""Hong Kong"",""Philippines"",""Malaysia"",""Thailand"",""Brazil"",""Argentina"",""Chile"",""Colombia"",""Peru"",""UAE"",""Saudi Arabia""]","[""Payroll Software"",""HR/HCM Software""]","[""Medium (20-499)"",""Enterprise 499+""]","Public",,"Founded in 1949 by Henry Taub, ADP began as a small payroll processing company in New Jersey. It went public in 1961 and expanded internationally in 1965 by establishing a subsidiary in the UK. Today, serves over 1,000,000 clients across 140 countries. With 64,000 employees and annual revenue of $18 billion (as of June 30, 2023), ADP holds a significant market share in the payroll industry, offering comprehensive solutions from payroll processing and HR management to benefits administration and compliance services.",,,"https://uk.adp.com/","/:f:/r/sites/MarketCompetitorIntelligence-MarketandCompetitorIntelligence-Internal/Shared%20Documents/Market%20and%20Competitor%20Intelligence%20-%20Internal/Competitors/ADP?csf=1&web=1&e=bhCPBn","5","3","[""2. Automotive"",""3. Construction"",""4. Discrete Manufacturing"",""5. Education"",""6. Financial Services"",""7. Government & Public"",""8. Health & Social Care"",""9. Insurance"",""10. Natural Resources"",""21. Not for Profit"",""11. Other Services"",""12. Process Manufacturing"",""14. Property - Real Estate"",""17. Telecoms"",""16. Technology & Software"",""18. Travel, Hospitality Media"",""19. Utilities"",""20. Wholesale, Distribution. Logistics and Transportation"",""15. Retail""]",,,"True","Overestimating",,,"False","False","Webb, Craig","Webb, Craig"
"11","Bill.com","United States","2006","[""United States""]","[""Payments"",""Accounting and Financial Management Software""]","[""Small (0-19)"",""Medium (20-499)""]","Public",,"BILL cloud-based solutions streamline critical financial workflows, including accounts payable, accounts receivable, and spend and expense management. BILL also offers a white-labeled platform, ""Bill.com Connect,"" to financial institutions, allowing them to integrate payment automation into their online business banking services.","The company went public and holds a notable share of the accounts payable software market.",,"https://www.bing.com/search?q=Bill.com&qs=n&form=QBRE&sp=-1&ghc=1&lq=0&pq=bill.com&sc=12-8&sk=&cvid=D3F8EDC064364A5BBCF1885C21A5B7C0","/:f:/r/sites/MarketCompetitorIntelligence-MarketandCompetitorIntelligence-Internal/Shared%20Documents/Market%20and%20Competitor%20Intelligence%20-%20Internal/Competitors/Bill?csf=1&web=1&e=1couSq","2","3","[""21. Not for Profit"",""13. Professional Services"",""14. Property - Real Estate"",""15. Retail"",""16. Technology & Software"",""18. Travel, Hospitality Media"",""19. Utilities""]",,,"True","Missing Data",,,"False","False","Webb, Craig","Webb, Craig"
"18","Cegid","France","1983","[""France"",""Spain"",""United Kingdom"",""United States"",""Germany"",""Italy"",""Portugal"",""belgium"",""Luxembourg"",""Netherlands"",""Switzerland"",""Ireland"",""Romania"",""Canada"",""Japan"",""China"",""Hong Kong"",""Singapore"",""Australia"",""UAE"",""Morocco"",""Austria"",""Malaysia"",""South Africa""]","[""HR/HCM Software"",""Payroll Software"",""Accounting and Financial Management Software"",""ERP Software"",""Taxation and Compliance Software""]","[""Medium (20-499)"",""Enterprise 499+""]","Private Equity","Silver Lake Partners and AltaOne Capital","Cegid is a leading global provider of cloud-based management solutions for finance, human resources, payroll, retail, and accounting professionals. Founded in 1983 in France, Cegid has grown significantly through organic development and strategic acquisitions, expanding its international footprint across numerous countries. The company focuses on delivering innovative software solutions that help businesses optimize their operations, improve efficiency, and make informed decisions. Its offerings cater to a diverse range of industries and customer sizes, from medium-sized businesses to large enterprises. Cegid's ownership by private equity firms Silver Lake Partners and AltaOne Capital reflects a strong focus on strategic growth and continued investment in its cloud-based offerings.",,,"https://www.cegid.com/global/","/:f:/r/sites/MarketCompetitorIntelligence-MarketandCompetitorIntelligence-Internal/Shared%20Documents/Market%20and%20Competitor%20Intelligence%20-%20Internal/Competitors/Cegid?csf=1&web=1&e=AnwnjJ","4","4","[""15. Retail"",""13. Professional Services"",""4. Discrete Manufacturing"",""5. Education"",""21. Not for Profit"",""16. Technology & Software"",""1. Agriculture"",""2. Automotive"",""3. Construction"",""6. Financial Services"",""7. Government & Public"",""9. Insurance"",""10. Natural Resources"",""11. Other Services"",""12. Process Manufacturing"",""17. Telecoms"",""18. Travel, Hospitality Media"",""19. Utilities"",""20. Wholesale, Distribution. Logistics and Transportation""]",,,"True","Overestimating",,,"False","False","Webb, Craig","Webb, Craig"
"24","DATEV","Germany","1966","[""Germany"",""Austria"",""Spain""]","[""Accounting and Financial Management Software"",""Taxation and Compliance Software"",""Payroll Software""]","[""Small (0-19)"",""Medium (20-499)"",""Enterprise 499+""]","Cooperative",,"DATEV eG is a leading German IT service provider and software company, founded in 1966. It operates as a cooperative society, with its membership primarily comprising tax consultants, auditors, and lawyers. DATEV's core mission is to provide comprehensive software, cloud solutions, and expertise that facilitate digital cooperation between small and medium-sized businesses (SMEs) and the tax consultants who oversee their business management.","As a cooperative, it is owned by its members, primarily tax consultants, auditors, and legal professionals. It is not owned by a single private equity firm or public shareholders in the traditional sense, though it does make strategic acquisitions.",,"https://apps.datev.de/ano/","/:f:/r/sites/MarketCompetitorIntelligence-MarketandCompetitorIntelligence-Internal/Shared%20Documents/Market%20and%20Competitor%20Intelligence%20-%20Internal/Competitors/DATEV?csf=1&web=1&e=5pAKEG","2","3","[""13. Professional Services"",""1. Agriculture"",""4. Discrete Manufacturing"",""6. Financial Services"",""7. Government & Public"",""8. Health & Social Care"",""9. Insurance"",""21. Not for Profit"",""11. Other Services"",""12. Process Manufacturing"",""15. Retail"",""16. Technology & Software"",""17. Telecoms"",""19. Utilities"",""20. Wholesale, Distribution. Logistics and Transportation""]",,,"True","Slightly Overestimating",,,"False","False","Webb, Craig","Webb, Craig"
"30","EKON (part of Cegid)","Spain","1963","[""Spain""]","[""ERP Software"",""Accounting and Financial Management Software"",""HR/HCM Software"",""Payroll Software"",""Accounting Practice Management Software"",""Vertical Specialist""]","[""Small (0-19)"",""Medium (20-499)"",""Enterprise 499+""]","Acquired ","Cegid","EKON is a long-standing Spanish software developer, founded in 1963, specializing in enterprise resource planning (ERP) solutions. Headquartered in Madrid, EKON provides integrated business management software designed to enhance operational efficiency for companies across various sectors, including manufacturing, wholesale, retail, healthcare, and construction. Its modular software suite covers critical functions such as finance, purchasing, sales, warehouse management, human resources, and manufacturing, along with e-commerce and reporting capabilities. EKON's solutions are known for their adaptability and comprehensive functionalities, enabling businesses to automate processes, reduce costs, and optimize delivery times. The company's focus on cloud-based (SaaS) deployments has been a key strategic direction.","Cegid (acquired EKON as part of Grupo Primavera in September 2022). Prior to this, EKON was acquired by Oakley Capital in 2019 and was a foundational part of the Grupo Primavera portfolio.",,"https://www.ekon.es/","/:f:/r/sites/MarketCompetitorIntelligence-MarketandCompetitorIntelligence-Internal/Shared%20Documents/Market%20and%20Competitor%20Intelligence%20-%20Internal/Competitors/Cegid?csf=1&web=1&e=MZflht","2","3","[""20. Wholesale, Distribution. Logistics and Transportation""]",,,"True","Missing Sources",,,"False","False","Webb, Craig","Nelson-Taylor, Ben"
"39","Grupo Primavera (part of Cegid)","Spain","1993","[""Spain"",""Portugal""]","[""ERP Software"",""Accounting and Financial Management Software"",""Payroll Software"",""HR/HCM Software"",""Vertical Specialist""]","[""Small (0-19)"",""Medium (20-499)"",""Enterprise 499+""]","Acquired ","Cegid","Grupo Primavera is a leading business software platform in the Iberian market, initially formed in 2019 through a strategic buy-and-build initiative by the private equity firm Oakley Capital. While the ""Grupo Primavera"" brand itself is relatively recent, it consolidated several established software companies, including EKON and Primavera BSS (founded in 1987), under one umbrella. Headquartered in Madrid, the group provides a wide range of cloud-based management solutions, including ERP, accounting, invoicing, payroll, and HR software.","In September 2022, Grupo Primavera was acquired by Cegid, a global leader in cloud business management solutions. This acquisition significantly strengthened Cegid's presence in the Iberian market and further expanded its comprehensive portfolio, allowing Grupo Primavera to leverage Cegid's broader international network and resources while continuing to serve its dedicated customer base with innovative software solutions.",,"https://www.cegid.com/ib/es/","/:f:/r/sites/MarketCompetitorIntelligence-MarketandCompetitorIntelligence-Internal/Shared%20Documents/Market%20and%20Competitor%20Intelligence%20-%20Internal/Competitors/Cegid?csf=1&web=1&e=MZflht","2","3","[""3. Construction"",""13. Professional Services""]",,,"True","Reasonably Estimated",,,"False","False","Webb, Craig","Webb, Craig"
"41","Haufe","Germany","1930","[""Austria"",""Germany""]","[""Accounting and Financial Management Software"",""Taxation and Compliance Software"",""Accounting Practice Management Software""]","[""Small (0-19)"",""Medium (20-499)"",""Enterprise 499+""]","Private Equity","The Haufe Group","The Haufe Group is a leading German provider of integrated business and workplace solutions, with its roots tracing back to its founding as a traditional publisher in 1930. Over the decades, the company has undergone a significant transformation, evolving into a modern media and software company, with a strong focus on digital products and services. Headquartered in Freiburg im Breisgau, Germany, Haufe Group helps businesses and individuals navigate complex transformation processes by providing a unique combination of expert content, sophisticated software solutions, and professional training.","The Haufe Group is a family-owned enterprise. While it has its own venture arm (Haufe Group Ventures) that invests in startups, the core company itself is privately held by the Haufe family.",,"https://www.haufe.de/","/:f:/r/sites/MarketCompetitorIntelligence-MarketandCompetitorIntelligence-Internal/Shared%20Documents/Market%20and%20Competitor%20Intelligence%20-%20Internal/Competitors/Haufe_Lexware?csf=1&web=1&e=ICPJjC","3","3","[""3. Construction"",""6. Financial Services"",""9. Insurance"",""11. Other Services"",""13. Professional Services"",""15. Retail"",""18. Travel, Hospitality Media""]",,,"True","Confident",,,"False","False","Webb, Craig","Webb, Craig"
"44","Holded (part of Visma)","Spain","2016","[""Spain""]","[""ERP Software"",""Accounting and Financial Management Software"",""Taxation and Compliance Software"",""Payments"",""Payroll Software"",""HR/HCM Software""]","[""Small (0-19)"",""Medium (20-499)"",""Enterprise 499+""]","Acquired ","Visma","olded is a rapidly growing Spanish cloud-based business management software company, founded in Barcelona in 2016. It offers an all-in-one platform designed to simplify and automate essential business processes for small and medium-sized enterprises (SMEs) and freelancers. Holded's comprehensive suite of tools covers various functionalities, including invoicing, accounting, CRM, project management, inventory control, and e-commerce integration. The company's mission is to empower businesses by providing an intuitive and interconnected platform that centralizes operations, reduces manual tasks, and offers real-time insights into business performance. Holded is known for its modern interface, ease of use, and scalability, making it attractive to a wide range of industries.","In September 2020, Holded was acquired by Visma, a leading European software provider with a strong presence across the Nordic region, Benelux, and beyond. This acquisition significantly strengthened Visma's position in the Spanish market and expanded its portfolio of cloud-based business software for SMEs. As part of the Visma group, Holded continues to operate independently, focusing on product innovation and expanding its market share within the Iberian Peninsula, while benefiting from Visma's extensive resources and expertise.",,"https://www.holded.com/","/:f:/r/sites/MarketCompetitorIntelligence-MarketandCompetitorIntelligence-Internal/Shared%20Documents/Market%20and%20Competitor%20Intelligence%20-%20Internal/Competitors/Holded?csf=1&web=1&e=IzaowO","2","4",,,,"True","Overestimating",,,"False","False","Webb, Craig","Nelson-Taylor, Ben"
